StoryID,StoryText,StoryNext,StoryResult,StoryInterval,Sprite,AfterInterval,AcvUpdate,EndingTrigger
M1_11,“몇가지 질문을 할 걸세. 고민해도 달라지는 건 없을테니 바로 대답하게”,m1_14&m1_15,-,0,null,-,-,0
M1_12,"첫 번째 질문이오. 열심히 준비한 조별 발표 1분 전, 팀원이 아무도 오지 않았다네. 자네의 선택은?",m1_16&m1_17&m1_18,-,0,null,-,-,0
M1_13,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?",m1_19&m1_20&m1_21,지+1,0,null,-,-,0
M1_14,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?",m1_19&m1_20&m1_21,무+1,0,null,-,-,0
M1_15,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?",m1_19&m1_20&m1_21,마+1,0,null,-,-,0
M1_16,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?,m1_22&m1_23&m1_24,지+1,0,null,-,-,0
M1_17,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?,m1_22&m1_23&m1_24,마+1,0,null,-,-,0
M1_18,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?,m1_22&m1_23&m1_24,무+1,0,null,-,-,0
M1_19,“어디보자... 그렇구만.,m1_25,무+1,0,null,-,-,0
M1_20,“어디보자... 그렇구만.,m1_25,마+1,0,null,-,-,0
M1_21,“어디보자... 그렇구만.,m1_25,지+1,0,null,-,-,0
M1_22,자네는 [가장 높은 능력치의 학과]가 어울리겠어. 아. 이게 절대적인 건 아니네. 언제까지나 추천에 불과하지. 선택은 자네의 몫일세. 어쩌겠는가?,m1_26&m1_27&m1_28,-,0,null,-,-,0
M1_23,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네” 선택을 마친 당신은 모자를 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.’",m1_29,기사,0,null,-,-,0
M1_24,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네” 선택을 마친 당신은 모자를 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.’",m1_30,마법,0,null,-,-,0
M1_25,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네” 선택을 마친 당신은 모자를 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.’",m1_31,관료,0,null,-,-,0
M2_1,"기사학부를… 몰라보기는 어렵겠군요. $저런 근육덩어리들이 모여있는 곳이 마법학부일리는 없으니까요.$당신은 조심스레 줄의 맨 뒤로 향합니다.$자칫 부딪혔다간 무지막지한 전면 삼각근에 산산조각이 나버릴 수도 있으니까요.$“저기… 벤치 100도 못 치게 생겼는데?”$“100은 무슨. 80도 안된다에 내 딸기맛 프로틴 전부 건다”$이곳은 뭐랄까. 말에도 땀 냄새가 가득하네요. 그나마 다행인 건 동기들이 당신에게 관심이 있다는 거겠죠..$어깨 좀 펴요. 안 그래도 좁은 어깨, 더 좁아보이니까. “저기, 기사학부 신입생 맞지?”",m2_1,-,0,null,-,-,0
M2_2,"“응? 갑자기 3대 측정이라니 그게 무슨 말이야..?”‘$당신의 옆에는 상상과 달리 당황한 표정의 여학생이 서 있었습니다.$밝은 웃음이 귀족 아가씨에 가까운 모습이지만, 꼿꼿한 자세에서 어딘가 단단한 느낌이 풍겨옵니다. ",m2_2,-,0,2,-,-,0
M2_3,"“아! 반말해서 미안. 처음 보는 동기라서 나도 모르게 그만…히히. 반가워, 난 전 솔이라고 해!$이것도 인연인데 우리 친구하자!""거기다 밝은 사교성까지. 꼭 만화에 나오는 주인공 같네요.",m2_3,-,0,null,-,-,0
M2_4,"눈치껏 줄을 선 당신은 길어지는 검사에 커다랗게 입을 벌리고 하품을 했습니다.$“지루한 건 알겠지만, 그런 행동은 삼가도록”$당신은 소리가 들려온 옆 자리를 바라봅니다.",m2_4,-,0,null,-,-,0
M2_5,“귀족 중에는 작은 약점이라도 물어뜯고싶어 안달난 자들이 많지. 어리다고 예외는 아니야.”,m2_5,-,0,null,-,-,0
M2_6,"“아이작 언더우드다. 잘 부탁하지.”$반가운 기색은 아니지만, 소개를 해줬다는데 위안을 얻도록 합시다.$당신은 굳이 이름을 말하기보단 이 시간이 끝나기를 기다리기로 합니다.$잘됐네요. 아이작도 그걸 원하는 것 같거든요.",m2_6,-,0,3,-,-,0
M2_7,당신은 쭈뼛거리며 안내받은 곳으로 향합니다. 연신 주변을 두리번거리면서요.,m2_7,-,0,null,-,-,0
M2_8,"긴장해서 반이 어디었는지 까먹었다고요? 그래도 안심하세요.$학교는 도와줄 사람을 준비해둔 모양이니까.$팻말을 들고 있는 사람 쪽으로 가죠. 당신은 어떤 줄이 당신의 반인지 물었습니다.$""여기 관료학부에요. 아까보니 반은 저쪽인 것 같던데요?”$$세상에 요정이 있다면 이 사람이지 않을까요? 저 아름다움의 집합체인 얼굴을 좀 보세요.$저게 정녕 같은 동족의 얼굴인지. 뒤를 돌아보니 다들 헤벌쭉한 꼬라지를 하고 있습니다.$뭐. 당신도 예외는 아니군요. 아는지는 모르겠어도 격하게 고개를 끄덕이고 있었거든요.$$“설 원이라고 해요. 앞으로 잘 부탁해요?”",m2_8,-,0,4,-,-,0
M2_9,훤칠한 키에 잘생긴 얼굴. 거기에 탄탄한 몸까지.$당신이 처음 만난 교수는 뭇 남성들의 심금을 울렸을법한 멋진 남성이었습니다.$왜 남자가 우냐구요? 솔직히 저렇게 생겼으면 운동은 못해야되는거잖아요.$ 억울해서 그래요 억울해서.,m2_9,-,0,null,-,-,0
M2_10,"그는 당신이 들어오자 반갑게 인사를 건넵니다. $모든 학생들이 자리에 앉는 것을 확인하고 무언가를 칠판에 휘갈겨 씁니다.$$“이건 제 이름입니다. 제대로 읽는 사람이 있다면 오늘 수업은 여기서 마치도록 할게요. 없으면 바로 운동장으로 갈거구요.”$$저딴 게…. 글씨..? 뭐라도 못하는게 있었군요. 다행, 아니 아쉽습니다.$저 장난스러운 미소를 보세요. 당연히 아무도 정답을 말할 수 없을거라고 기대하는 것만 같습니다.",m2_10&m2_11&m2_12,-,0,null,-,-,0
M2_11,"선우 일...? 당신은 용케 글씨를 읽어냅니다!$당신 덕분에 오늘의 수업은 취소되었고, 반 학우들의 영웅이 되었습니다! (정신력 +1)",m2_13,정+1,2,null,M3_1,-,0
M2_12,저런 걸 읽을 수 있을리가 없죠.$“이번에도 이변은 없네요. 제 이름은 선우 일입니다. 잘 기억해둬요? 자 일어납시다.” $그는 다정하게 학생들을 재촉합니다. 이 땡볕에요.,m2_13,-,2,null,M3_1,-,0
M2_13,링딩동 링딩동 링디기딩디기 딩딩딩~♬(+사운드 효과)$어디선가 들려오는 종소리. 곧이어 누군가 허공에서 나타납니다.$(교탁 앞에 펑하고 등장하는 맥고나걸 일러스트),m2_14,-,0,5,-,-,0
M2_14,“여러분께 마법의 길을 안내하고 함께 걸어갈 펠리시아 맥고나걸입니다. 만나서 반가워요”$나긋한 목소리에 당신은 심장이 쿵쿵거리기 시작하는 것을 느낍니다.$새 학기의 설렘은 이런 것일까요.,m2_15,-,2,null,M3_5,-,0
M2_15,"비쩍 말라 해골 같은 한 여성이 교탁 앞에서 음울한 기운을 내뿜고 있습니다.$그녀는 느릿하게 다가오더니, 창백한 손으로 종이 한 장을 건넵니다.",m2_16,-,0,null,-,-,0
M2_16,침착하게 프린트를 확인하면 이렇게 적혀있습니다. $[ლ(´ڡ`ლ) 관료학부에 온 것을 환영합니다♡ 군사학을 맡은 교수 이미정이에요! ><♡ 한 학기동안 잘 지내보아요 ᕕ( ᐛ )ᕗ 오리엔테이션 설명 및 강의 기초자료는 전부 ☆PRINT☆로 지급합니다 <3] 점수 지급방식 및 수업 진행 방식에 대한 설명…,m2_17,-,0,null,-,-,0
M2_17,이게 뭐죠? 잠시만요. 이걸… 저 언데드.. 아니 사람이 썼다고? $보기보다는 깜찍하군요.$당신은 무언가를 바라는듯한 눈빛의 그녀에게 인사하고 빈 자리로 향합니다.,m2_18,-,2,null,M3_9,-,0
M3_1,"새로운 곳에 적응하는 건 쉽지 않은 일이죠. 제출하라는 서류는 어찌나 많은지.$그때, 누군가 당신에게 인사를 건넵니다.$“안녕, 네가 중립지대 대표 맞지?” ",m3_1&m3_2,-,0,6,-,-,0
M3_2,"“ 응? 따로 전달 못 받았어? 이건 좀 곤란한데… ”$그는 당황한 표정으로 머리를 긁적입니다. 뭔가 말하는 것 같은데…$무슨 말인진 모르겠지만, 욕이란 건 어렵지 않게 짐작할 수 있습니다.$“ 소개가 늦었네. 난 이재희라고 해. 민회의 대표기도 하고. 민회는… 그래. 중립지대 출신과 평민들을 위한 자치회야.$중립지대 대표는 의무 가입인데 전달에 혼선이 있었나봐.. ”$ “ 아직 가입 신청 안 했길래 말해주려고 왔어. 모르고 있었다는 건 생각도 못했지만… 어쨌든 가입할 거지?”",m3_3&m3_4,-,0,null,-,-,0
M3_3,“잘 생각했어. 그럼 회의 때 보자 ”,m3_5,-,0,null,-,-,0
M3_4,"“제사…? 하하… 독특한 농담이네. 당연히 그런 건 아니야. 아카데미는 종교의 자유를 보장하니까.”$그는 당신에게 민회에 대한 설명을 덧붙였고, 당신은 걱정 없이 민회에 가입하기로 했습니다.$“잘 생각했어. 그럼 회의 때 보자 ”",m3_5,-,0,null,-,-,0
M3_5,"새로운 곳에 적응하는 건 쉽지 않은 일이죠. 제출하라는 서류는 어찌나 많은지.$그때, 누군가 당신에게 인사를 건넵니다.$“안녕, 네가 중립지대 대표 맞지?” ",m3_6&m3_7,-,0,6,-,-,0
M3_6,"“ 응? 따로 전달 못 받았어? 이건 좀 곤란한데… ”$그는 당황한 표정으로 머리를 긁적입니다. 뭔가 말하는 것 같은데…$무슨 말인진 모르겠지만, 욕이란 건 어렵지 않게 짐작할 수 있습니다.$“ 소개가 늦었네. 난 이재희라고 해. 민회의 대표기도 하고. 민회는… 그래. 중립지대 출신과 평민들을 위한 자치회야.$중립지대 대표는 의무 가입인데 전달에 혼선이 있었나봐.. ”$ “ 아직 가입 신청 안 했길래 말해주려고 왔어. 모르고 있었다는 건 생각도 못했지만… 어쨌든 가입할 거지?”",m3_8&m3_9,-,0,null,-,-,0
M3_7,“잘 생각했어. 그럼 회의 때 보자 ”,m3_10,-,0,null,-,-,0
M3_8,"“제사…? 하하… 독특한 농담이네. 당연히 그런 건 아니야. 아카데미는 종교의 자유를 보장하니까.”$그는 당신에게 민회에 대한 설명을 덧붙였고, 당신은 걱정 없이 민회에 가입하기로 했습니다.$“잘 생각했어. 그럼 회의 때 보자 ”",m3_10,-,0,null,-,-,0
M3_9,"새로운 곳에 적응하는 건 쉽지 않은 일이죠. 제출하라는 서류는 어찌나 많은지.$그때, 누군가 당신에게 인사를 건넵니다.$“안녕, 네가 중립지대 대표 맞지?” ",m3_11&m3_12,-,0,6,-,-,0
M3_10,"“ 응? 따로 전달 못 받았어? 이건 좀 곤란한데… ”$그는 당황한 표정으로 머리를 긁적입니다. 뭔가 말하는 것 같은데…$무슨 말인진 모르겠지만, 욕이란 건 어렵지 않게 짐작할 수 있습니다.$“ 소개가 늦었네. 난 이재희라고 해. 민회의 대표기도 하고. 민회는… 그래. 중립지대 출신과 평민들을 위한 자치회야.$중립지대 대표는 의무 가입인데 전달에 혼선이 있었나봐.. ”$ “ 아직 가입 신청 안 했길래 말해주려고 왔어. 모르고 있었다는 건 생각도 못했지만… 어쨌든 가입할 거지?”",m3_13&m3_14,-,0,null,-,-,0
M3_11,“잘 생각했어. 그럼 회의 때 보자 ”,m3_15,-,0,null,-,-,0
M3_12,"“제사…? 하하… 독특한 농담이네. 당연히 그런 건 아니야. 아카데미는 종교의 자유를 보장하니까.”$그는 당신에게 민회에 대한 설명을 덧붙였고, 당신은 걱정 없이 민회에 가입하기로 했습니다.$“잘 생각했어. 그럼 회의 때 보자 ”",m3_15,-,0,null,-,-,0
M4_1,"시험이 끝나면 찾아오는 건 축제입니다. 전에 없던 생기가 아카데미에 넘치는군요.$축제야 그저 즐기기만 하면 된다고들 하지만, 모든 일이 그렇듯 누군가는 준비를 해야합니다. 그리고 그 누군가는 바로 당신이죠!$부산스런 밖과 달리 회의실의 분위기는 삭막하기 그지없습니다. 그 가운데 아이작과 전 솔만이 마주 앉아 있습니다.",m4_1&m4_2,-,0,null,-,-,0
M4_2,"인사를 건네자 전 솔은 웃으며 고개를 돌렸습니다.$방금까지 표정이 굳어 있던 것 같았는데. 적어도 당신을 반기는 것 같긴 하군요.$“왔구나? 축제 준비 때문에 회의 중이었는데 아이작과 소소한 의견 차이가 있네. 아, 그래! {name}. 네가 들어보고 의견을 말해줄래?”",m4_3&m4_4,-,0,null,-,-,0
M4_3," “역시! 믿고 있었어!”$ “...그럼 설명은 내가 하지”$아이작의 논리정연한 설명에 따르면, 아 중간중간 전 솔의 개입도 포함하자면…$자리배치 문제였습니다. 뻔하군요.$“마법실험 동아리가 준비하고 있는 건 판매 부스라고 하더군. 구석진 자리에 배치되면, 계획을 전부 수정해야 할 거다.”$아이작이 팔짱을 낀 채 전 솔을 바라봅니다. $“토론 동아리는 작년에도 좋은 자리를 양보했어. 계속 희생을 강요할 수는 없잖아?”$전 솔은 찡그린 표정으로 당신을 쳐다봅니다.",m4_7&m4_8&m4_9,-,0,null,-,-,0
M4_4," “가위바위보…?”$“이건 점심 메뉴를 정하는 것과는 다른 문제다. 진지하게 임해줬으면 좋겠군.”$상황과 어울리지 않는 농담은 화를 사는 법이죠.$약간의 짜증이 섞인듯한 아이작의 논리정연한 설명에 따르면, 아 중간중간 전 솔의 열정 가득한 개입도 포함하자면…$자리배치 문제였습니다. 뻔하군요.$“마법실험 동아리가 준비하고 있는 건 판매 부스라고 하더군. 구석진 자리에 배치되면, 계획을 전부 수정해야 할 거다.”$아이작이 팔짱을 낀 채 전 솔을 바라봅니다.$“토론 동아리는 작년에도 좋은 자리를 양보했어. 계속 희생을 강요할 수는 없잖아?”$전 솔은 찡그린 표정으로 당신을 쳐다봅니다.",m4_7&m4_8&m4_9,-,0,null,-,-,0
M4_5,인사를 건네자 아이작이 천천히 고개를 돌립니다. 무표정한 얼굴에 얹어진 얇은 금테 안경이 예리하게 반짝입니다.$“마침 잘 왔군. 축제 준비에 입장 차가 있어 이야기를 나누고 있었다. 결정에 도움을 줬으면 하는데. 괜찮은가?”,m4_5&m4_6,-,0,null,-,-,0
M4_6,"“좋아. 도움에 대해선 나중에 사례하지. 그러니까 어떤 문제냐면…”$“잠깐! 설명은 내가 할게!!”$전 솔의 활기찬 설명에 따르면 자리배치 문제가 원인이었습니다. 아이작의 보충이 없었다면 전혀 다른 문제로 알 뻔 했지만요.$“마법실험 동아리가 준비하고 있는 건 판매 부스라고 하더군. 구석진 자리에 배치되면, 계획을 전부 수정해야 할 거다.”$아이작이 팔짱을 낀 채 전 솔을 바라봅니다.$“토론 동아리는 작년에도 좋은 자리를 양보했어. 계속 희생을 강요할 수는 없잖아?”$전 솔은 찡그린 표정으로 당신을 쳐다봅니다.",m4_7&m4_8&m4_9,-,0,null,-,-,0
M4_7," “...농담인가?”$“{name}. 조금 더 진지하게 생각해줬으면 좋겠어”$상황과 어울리지 않는 농담은 화를 사는 법이죠. 전 솔의 설명과 아이작의 보충에 따르면, 자리배치가 문제였습니다.$“마법실험 동아리가 준비하고 있는 건 판매 부스라고 하더군. 구석진 자리에 배치되면, 계획을 전부 수정해야 할 거다.”$아이작이 팔짱을 낀 채 전 솔을 바라봅니다.$“토론 동아리는 작년에도 좋은 자리를 양보했어. 계속 희생을 강요할 수는 없잖아?”$전 솔은 찡그린 표정으로 당신을 쳐다봅니다.",m4_7&m4_8&m4_9,-,0,null,-,-,0
M4_8,“ 다른 방법은 없다. 이게 최선이야.”$“우리도 생각해봤는데… 그건 어려워”$둘의 표정을 보니 아무래도 다른 선택지를 찾긴 어려울 것 같습니다.$“그래서 {name}. 어떻게 생각하나”,m4_8&m4_9,-,0,null,-,-,0
M4_9," “그치? 그게 낫겠지?”$“...그렇게 생각한다면야. 그럼 구체적인 처리 방안을 얘기해보지.”$기쁨을 온몸으로 드러내는 전 솔과 무표정한 아이작. 반응은 반대지만, 모두 당신의 선택을 존중하는 것 같습니다.$어쨌든 리액션이 크니 편 든 보람은 있네요.",m4_10,고+1,0,null,-,-,0
M4_10,"“..음음”$“그럴 수 있지… 그럼 이제 어떻게 할까…”$무표정한 아이작과 시무룩해진 전 솔 . 두 사람의 반응이 영 달랐지만, 그래도 모두 당신의 선택을 존중하는 것 같습니다.$아이작은 별 반응은 없었지만… 살짝 입꼬리가 올라간 것을 본 것도 같네요.",m4_11,연+1,0,null,-,-,0
M5_1,“우린 양보 못 해. 자리가 바뀌면 처음부터 다시 준비해야한다고”$당신은 걸음을 옮겼습니다. 짜증난 표정의 여학생과 드물게도 곤란한 기색인 아이작이 있는 그곳으로요.$“아. {name}. 마침 잘 왔다.”$당신을 붙잡은 아이작은 마법실험 동아리가 자리 배치에 항의하고 있다며 설득을 도와줄 것을 부탁합니다. ,m5_1&m5_2,-,0,null,-,-,0
M5_2,“그런가… 실례했군”$평소처럼 무표정한 아이작은 사과하곤 돌아갔습니다. 복도 너머에서는 다시금 여학생의 신경질적인 목소리가 들려옵니다.,m5_3,-,0,null,-,-,0
M5_3,"아이작은 그녀와 얘기를 나눠줄 것을 부탁했습니다. 확인할 틈도 없이, 그녀가 당신의 앞에 다가왔습니다.",m5_4&m5_5&m5_6,연+1,0,null,-,-,0
M5_4,“안녕. 됐어? ”$그녀는 어정쩡하게 굳어있는 당신에게 부자연스런 웃음을 보입니다.$“난 한나라고 해. 한나 카샤프. 누군진 모르겠지만 황자 나으리보단 낫길 바래”,m5_7&m5_8&m5_9,-,0,null,-,-,0
M5_5,"“노력은 당연한 거고, 해결이나 해줘”$당신은 힘겹게 웃으며, 신경진 한나의 불만을 들었습니다.$그러니까… 동아리 예산을 마도구 만드는 데 다 써서, 이번 축제에 그걸 다 못 팔면 곤란하다는거죠?$한나의 손에는 보석이 박힌 작은 브로치가 여러 개 들려있습니다.$“...구석탱이에서는 절대 못 팔아. 그러니까 신청한 대로 해줘”",m5_10&m5_11,-,0,null,-,-,0
M5_6,"“과연 그랬으면 좋겠네.”$당신은 과장되게 고개를 끄덕이며 한나의 불만을 들었습니다.$그러니까… 동아리 예산을 마도구 만드는 데 다 써서, 이번 축제에 그걸 다 못 팔면 곤란하다는거죠?$한나의 손에는 보석이 박힌 작은 브로치가 여러 개 들려있습니다.$“...구석탱이에서는 절대 못 팔아. 그러니까 신청한 대로 해줘”",m5_10&m5_11,강+1,0,null,-,-,0
M5_7,"“그니까 미천한 것들끼리 얘기 좀 해보자고.”$왠지 뒤통수가 따갑지만, 당신은 애써 무시하며 한나의 불만을 들었습니다.$그러니까… 동아리 예산을 마도구 만드는 데 다 써서, 이번 축제에 그걸 다 못 팔면 곤란하다는거죠?$한나의 손에는 보석이 박힌 작은 브로치가 여러 개 들려있습니다.$“...구석탱이에서는 절대 못 팔아. 그러니까 신청한 대로 해줘”",m5_10&m5_11,강-1,0,null,-,-,0
M5_8,“몇 년째 얘기해도 씨알도 안 먹히니 그러지. 하.. 이번 축제도 예산만 올려줬으면 이런 식으로 안했을꺼야”,m5_11,-,0,null,-,-,0
M5_9,“홍보..? 어떻게? 확실히 해결된다는 보장은 있고?”$홍보에 대해선 생각도 안 해본 눈치군요. 그동안 왜 예산이 부족했는지 알 것 같습니다. 어찌됐든 비장의 카드를 꺼낼 거라면 지금이 타이밍인 것 같네요,m5_12&m5_13,-,0,null,-,-,0
M5_10,"STP, 4P, 3C…$당신은 수많은 전문용어를 섞어가며 시장과 고객에 대해서 논했고,$듣고 있던 한나의 눈에선 점점 초점이 사라졌습니다.$$“그, 그래서 어떻게 하면 되는데…?”$$당신은 한나에게 몇 가지 홍보 방법을 설명했습니다.$아주 초보적인 방법이었지만 그건 상관 없었죠.$한나는 당신이 어떤 말을 하든 따를 준비가 되어 있었으니까요.$$이야… 옥장판 한 번 팔아볼 생각없어요? (서강 +1)",m5_14,-,0,null,-,-,0
M5_11,"음.. 홍보란 건 말이죠…$$당신은 더듬거리며 마을 가게들이 홍보하는 방법을 얘기했습니다.$그 내용들은 누구나 떠올릴 평범한 것이었지만, 미심쩍게 듣던 한나가 고민에 빠지게 할 정도는 되었죠.$",m5_14,-,0,null,-,-,0
M5_12, “나랑 장난이라도 하자는건가?”$그녀의 인상이 한층 더 사나워졌습니다.$“후우… 그래. 장난치는 중이었지”$오래 살고 볼 일이네요. 당신의 유머가 먹히는 때가 있을 줄이야$“이딴 자리 배치가 장난이 아니면 뭐겠어. 안 그래?”$역시 한국말은 끝까지 들어야하나봅니다.,m5_15&m5_16,-,0,null,-,-,0
M5_13,"“어디 계속 얘기해봐.”$조금 쫄린 당신은 더듬거리며 상황을 설명합니다.$“그게 다야? 솔직히 별 방법 없지?”$정곡을 찔린 당신은 신경진 한나의 불만을 들었습니다.$$그러니까… 동아리 예산을 마도구 만드는 데 다 써서, 이번 축제에 그걸 다 못 팔면 곤란하다는거죠?$한나의 손에는 보석이 박힌 작은 브로치가 여러 개 들려있습니다.$$“자리는 포기할테니까, 대신 예산을 더 줘.”$결국 당신은 울며 겨자먹기로 예산지원을 약속합니다. ",m5_17,-,0,null,-,-,0
M5_14,"동아리 예산을 마도구 만드는 데 다 써서,$이번 축제에 다 못 팔면 곤란하다는거죠?$$그러면 다 방법이 있죠.$아카데미의 가십거리를 꿰고 있는 당신은 설원의 패션에 얼마나 많은 학우들이 관심을 보이는지 설명합니다.$$“...너가 정말 설 원이랑 연결시켜준다고?”$당신은 학생회증을 내밀어보입니다.$그리곤 설 원이 당신을 꽤 아낀단 걸 설명했죠.$$“좋아. 한 번 믿어보겠어. 축제 기간 동안 매일. 꼭 잘 보이는 곳에 달아야한다고 전해줘.”$당신은 보석이 박힌 작은 브로치를 건네받고는 설 원에게 사정을 설명했습니다.$$얼마지 않아 어디서 설 원의 브로치를 구할 수 있는지 수군대는 여학우들을 어렵지 않게 찾을 수 있었습니다. 뭐 쉽네요. (지력+1)",m5_17,지+1,0,null,-,-,0
M5_15, “...뭐 묻었어? 왜 이렇게 빤히 쳐다봐”,m5_18,-,0,null,-,-,0
M5_16,"“미,미쳤어? 갑자기 무슨 소리야!!”$짜증나있던 그녀의 얼굴이 붉게 변합니다.$	“으… 으으…”$	말을 잇지 못하고 손가락만 찌르던 그녀는 갑자기 홱 뒤돌더니 떠나버렸습니다.",m5_19,-,0,null,-,-,0
M5_17,"잠시 후 나타난 아이작이 한나는 어디갔냐며 물었지만, 뭐 그건 당신도 모르는 일이죠. 한 번 어깨를 들썩인 당신은 자리를 뜹니다. (지력 +1)",m5_17,지+1,0,null,-,-,0
M5_18,“그렇지만 작년에도 저희가 양보하지 않았습니까?”$당신은 익살스럽게 웃고 있는 남학생과 쩔쩔매고 있는 전 솔이 있는 곳으로 향했습니다.$“마침 잘 왔어! 좀 도와주지 않을래?”$당신을 붙잡은 전 솔은 토론 동아리가 자리 배치에 항의하고 있다며 설득을 도와줄 것을 부탁합니다.,m5_20&m5_21,-,0,null,-,-,0
M5_19,“그래…?”$우울해진 전 솔은 축 처진 어깨로 돌아갔습니다. 도서관 너머에서는 다시금 남학생의 익살스러운 웃음소리가 들려옵니다.,m5_22,-,0,null,-,-,0
M5_20,"전솔은 그와 얘기를 나눠줄 것을 부탁했습니다. 확인할 틈도 없이, 그가 당신의 앞에 다가왔습니다.",m5_23&m5_24,고+1,0,null,-,-,0
M5_21,이재희는 어정쩡하게 굳어있는 당신을 보며 의미심장한 웃음을 보입니다.$“오랜만이야. 이성적인 합의를 봤으면 좋겠네.”,m5_25&m5_26&m5_27,-,0,null,-,-,0
M5_22,"“내가 납득할만한 결과이길 바랄게”$당신은 힘겹게 웃으며, 묘하게 날이 선 재희의 불만을 들었습니다.$그러니까… 작년에도 축제 자리를 양보했어서, 이번에도 구석이라면 곤란하다는거죠?$“이번 토론 주점에는 독고윤정 교수님이 특별 손님으로 오시기로 해서 양보는 어려워.” ",m5_28&m5_29,-,0,null,-,-,0
